Posting Date,Description,Category,Amount (USD),Running Balance
2025-01-03,ACME CORP DIRECT DEP,Payroll,2217.08,7217.08
2025-01-04,SPOTIFY USA,Subscription,-141.58,7075.50
2025-01-05,SHELL OIL 57,Transport,-120.03,6955.47
2025-01-06,ATM FEE,Fees,-3.00,6952.47
2025-01-07,OLIVE GARDEN,Dining,-133.56,6818.91
2025-01-09,BEST BUY 391,Retail,-193.02,6625.89
2025-01-12,WHOLE FOODS MKT,Groceries,-205.34,6420.55
2025-01-14,ONLINE XFER TO SAVINGS,Transfer,-252.63,6167.92
2025-01-16,ATM FEE,Fees,-25.00,6142.92
2025-01-18,ONLINE XFER TO SAVINGS,Transfer,-52.76,6090.16
2025-01-21,ATM FEE,Fees,-25.00,6065.16
2025-01-24,PG&E WEB PAYMENT,Utilities,-209.35,5855.81
2025-01-26,ONLINE XFER TO SAVINGS,Transfer,-28.75,5827.06
2025-02-03,SAFEWAY #412,Groceries,-77.44,5749.62
2025-02-05,ATM FEE,Fees,-3.00,5746.62
2025-02-07,ACME CORP DIRECT DEP,Payroll,3094.54,8841.16
2025-02-08,AMAZON MKTPL,Retail,-73.12,8768.04
2025-02-10,MONTHLY SERVICE FEE,Fees,-25.00,8743.04
2025-02-13,SHELL OIL 57,Transport,-145.46,8597.58
2025-02-14,MONTHLY SERVICE FEE,Fees,-12.00,8585.58
2025-02-16,CVS PHARMACY 8842,Healthcare,-22.09,8563.49
2025-02-17,NETFLIX.COM,Subscription,-48.97,8514.52
2025-02-18,WHOLE FOODS MKT,Groceries,-210.85,8303.67
2025-02-20,TARGET 00021,Retail,-196.75,8106.92
2025-02-21,TRADER JOE'S,Groceries,-131.63,7975.29
2025-02-22,CHIPOTLE 2231,Dining,-125.42,7849.87
2025-02-23,KAISER PERMANENTE,Healthcare,-62.42,7787.45
2025-02-26,BEST BUY 391,Retail,-171.67,7615.78
2025-02-28,BEST BUY 391,Retail,-212.84,7402.94
2025-03-04,CHIPOTLE 2231,Dining,-49.56,7353.38
2025-03-07,ZELLE TO J SMITH,Transfer,-233.59,7119.79
2025-03-10,NETFLIX.COM,Subscription,-182.64,6937.15
2025-03-12,BART CLIPPER,Transport,-82.40,6854.75
2025-03-13,ACME CORP DIRECT DEP,Payroll,3026.54,9881.29
